email_text,intent,urgency,order_id,product,clean_email_text,char_length,word_count
Subj: Case 0882 - Can you get me the invoice for 68024 and tell me when that order will ship?,multiple_intents,,68024.0,,can you get me the invoice for 68024 and tell me when that order will ship,74,16
Please process refund 33456 amount 45.5 reason: duplicate charge,refund_request,,33456.0,,please process refund 33456 amount 45 5 reason duplicate charge,63,10
Need price + stock for SKU LK-999 qty 12 asap for demo units.,pricing_and_availability,high,,,need price stock for sku lk 999 qty 12 asap for demo units,58,13
My monitor power button stuck and won't power on. order 20202,technical_support,high,,monitor,my monitor power button stuck and won t power on order 20202,60,12
"Subj: Case 0055 - Do you have AB-2234 router in stock? Need qty 3, pls confirm.",availability,,,router,do you have ab 2234 router in stock need qty 3 pls confirm,58,13
"My software license key won't activate, error code 502. Pls help.",technical_support,high,,software license,my software license key won t activate error code 502 pls help,62,12
Need pricing+availability for SKU LP-88 qty 8 urgent for demo next week.,pricing_and_availability,high,,,need pricing availability for sku lp 88 qty 8 urgent for demo next week,71,14
Subj: Case 0074 - Is software license sku SW-ENT-01 available for qty 30?,availability,,,software license,is software license sku sw ent 01 available for qty 30,54,11
"Order 996120: want to return the printer, it arrived but we already purchased another brand.",return_request,,996120.0,printer,order 996120 want to return the printer it arrived but we already purchased another brand,89,15
"Delivery issue: order 18282 left at side door but house locked, worried it's stolen",delivery_issue,high,18282.0,,delivery issue order 18282 left at side door but house locked worried it s stolen,81,15
Order 70709 status? It contained cables needed for critical networking today.,order_status,,70709.0,cables,order 70709 status it contained cables needed for critical networking today,75,11
"I got a chargeback notice for order 81818. Amount 599.00, pls sort with collections",credit_and_collections,,81818.0,,i got a chargeback notice for order 81818 amount 599 00 pls sort with collections,81,15
"Order 88221 — need to split shipment into 2 deliveries, pls modify",order_modification_request,medium,88221.0,,order 88221 need to split shipment into 2 deliveries pls modify,63,11
Subj: Case 0492 - Can you send the keyboard datasheet? i cant find it online.,product_docs,,,keyboard,can you send the keyboard datasheet i cant find it online,57,11
"Router rsa token auth failing after update, can't get into admin. Need urgent support.",technical_support,high,,router,router rsa token auth failing after update can t get into admin need urgent support,83,15
"Need invoice for 99999 Q2 2026, pls hurry",invoice_request,high,99999.0,,need invoice for 99999 q2 2026 pls hurry,40,8
Where can I find the manual for the router? need product docs version 2,product_docs,,,router,where can i find the manual for the router need product docs version 2,70,14
"Pricing for 10 monitors, low priority",pricing,low,,monitor,pricing for 10 monitors low priority,36,6
"Subj: Case 0084 - Laptop LT-5562 sku LT-5562, need 2 units, are they in stock now?",availability,,,laptop,laptop lt 5562 sku lt 5562 need 2 units are they in stock now,61,14
Subj: Case 0712 - Requesting refund order 67021 amount 59.00 reason: wrong keyboard shipped.,refund_request,,67021.0,,requesting refund order 67021 amount 59 00 reason wrong keyboard shipped,72,11
"Subj: Case 0248 - invoice for order 63024, pls attach again, cant open the last file.",invoice_request,medium,63024.0,,invoice for order 63024 pls attach again cant open the last file,64,12
"Subj: Case 0820 - Please stop calling me, i never opted in, its getting annoying.",out_of_scope,,,,please stop calling me i never opted in its getting annoying,60,11
"Subj: Case 0581 - Need rep for Denmark, startup 9 ppl, whenever.",sales_reps,low,,,need rep for denmark startup 9 ppl whenever,43,8
"Checking statuz on order 519990 (monitor). needed for install next Tue, pls confirm",order_status,,519990.0,monitor,checking statuz on order 519990 monitor needed for install next tue pls confirm,79,13
recieved wrong item in order 22445 — got cables instead of keyboard. return pleease,return_request,,22445.0,keyboard,recieved wrong item in order 22445 got cables instead of keyboard return pleease,80,13
Please: invoice for 7022991 and also confirm stock of SKU KB-9090.,multiple_intents,,7022991.0,,please invoice for 7022991 and also confirm stock of sku kb 9090,64,12
Is software license SL-5 available? Need 15 licenses,availability,,,software license,is software license sl 5 available need 15 licenses,51,9
KB-100 keyboards available for 250 pcs,availability,,,keyboard,kb 100 keyboards available for 250 pcs,38,7
Is this support for event bookings? Asking because I need venue recs.,out_of_scope,,,,is this support for event bookings asking because i need venue recs,67,12
"Please add our company to vendor list: Global Parts Inc, wholesaler, region: EU",vendor_registration,,,,please add our company to vendor list global parts inc wholesaler region eu,75,13
"Subj: Case 0091 - Server rack sku SR-12U-WALL, need 2, do you have stock?",availability,,,server rack,server rack sku sr 12u wall need 2 do you have stock,52,12
Looking to become a supplier—KiteRun Logistics (we do warehousing + last-mile). Region: Southeast US,vendor_registration,,,,looking to become a supplier kiterun logistics we do warehousing last mile region southeast us,94,15
"Looking for rep in EU for enterprise 5000+ employees, not urgent",sales_reps,low,,,looking for rep in eu for enterprise 5000 employees not urgent,62,11
"Subj: Case 0059 - Need 25 ethernet cables, sku CB-100M, you got them on hand?",availability,,,cables,need 25 ethernet cables sku cb 100m you got them on hand,56,12
Price for 10 server racks? Include assembly and installation costs pls.,pricing,medium,,server rack,price for 10 server racks include assembly and installation costs pls,69,11
Subj: Case 0079 - Is KB-MECH-1 keyboard available? need qty 20 for a rollout.,availability,,,keyboard,is kb mech 1 keyboard available need qty 20 for a rollout,57,12
"Subj: Case 0225 - Re-send invoice for order 63008, previous PDF was corrupted :(",invoice_request,medium,63008.0,,re send invoice for order 63008 previous pdf was corrupted,58,10
Refund request for order 23234 amount 420.00 — item arrived faulty and used.,refund_request,,23234.0,,refund request for order 23234 amount 420 00 item arrived faulty and used,73,13
Subj: Case 0724 - Refund pls for order 67033 amount 260.00 reason: wrong tax charged.,refund_request,,67033.0,,refund pls for order 67033 amount 260 00 reason wrong tax charged,65,12
"MTR-202 monitors availability for 30, low urgency",pricing_and_availability,low,,,mtr 202 monitors availability for 30 low urgency,48,8
Order 906772 for a monitor is arriving way later than promised... we needed it for a setup tomorrow. Any chance to speed this up?,delivery_issue,high,906772.0,monitor,order 906772 for a monitor is arriving way later than promised we needed it for a setup tomorrow any chance to speed this up,124,24
"We have a billing question about order 33312 and late fees charged, pls explain — amount 75.",credit_and_collections,,33312.0,,we have a billing question about order 33312 and late fees charged pls explain amount 75,88,16
Subj: Case 0822 - Can you provide your company legal name + address for our supplier database?,out_of_scope,,,,can you provide your company legal name address for our supplier database,73,12
"Need to know if SKU SW-11 software license supports SSO, qty 10",availability,,,software license,need to know if sku sw 11 software license supports sso qty 10,62,13
Please remove the extended warranty from order 873400 (laptop). Not urgent just fix it when u can.,order_modification_request,low,873400.0,,please remove the extended warranty from order 873400 laptop not urgent just fix it when u can,94,17
Subj: Case 0873 - Collections is emailing about order 68017 but we never got the shipment (delivery issue).,multiple_intents,,68017.0,,collections is emailing about order 68017 but we never got the shipment delivery issue,86,14
"We got a past due notice for order 45454 but payment was mailed, need confirmation.",credit_and_collections,,45454.0,,we got a past due notice for order 45454 but payment was mailed need confirmation,81,15
Vendor regs: I want to register Acme Supplies as a vendor. We're a distributor in US,vendor_registration,,,,vendor regs i want to register acme supplies as a vendor we re a distributor in us,82,17
"Subj: Case 0571 - Please assign a rep for Italy, mid-market 900 employees, soon.",sales_reps,medium,,,please assign a rep for italy mid market 900 employees soon,59,11
Who is the sales rep for Pacific Northwest? We’re a mid-size company (~300 ppl) and need to talk this week,sales_reps,medium,,,who is the sales rep for pacific northwest we re a mid size company 300 ppl and need to talk this week,102,22
Is laptop model ZB-11 in stock? need 1 asap,availability,,,laptop,is laptop model zb 11 in stock need 1 asap,42,10
Subj: Case 0980 - Need order status for 68091 router and also price for 50 routers (bulk) urgent.,multiple_intents,,68091.0,,need order status for 68091 router and also price for 50 routers bulk urgent,76,14
"Subj: Case 0224 - Need invoice for order 63007, pls include tax breakdown.",invoice_request,medium,63007.0,,need invoice for order 63007 pls include tax breakdown,54,9
"Subj: Case 0285 - Order 64019: pls add 1 extra keyboard to the same order, asap before it ships.",order_modification_request,high,64019.0,,order 64019 pls add 1 extra keyboard to the same order asap before it ships,75,15
"Update billing info on 45454 because contact changed, low priority",order_modification_request,low,45454.0,,update billing info on 45454 because contact changed low priority,65,10
Subj: Case 0066 - Are PR-4411 printers backordered or available? need qty 3 pls.,availability,,,printer,are pr 4411 printers backordered or available need qty 3 pls,60,11
"Subj: Case 0520 - Monitor user guide pdf pls, any version is fine.",product_docs,,,monitor,monitor user guide pdf pls any version is fine,46,9
Keyboard not connecting via Bluetooth. tried resets. low urgency,technical_support,low,,keyboard,keyboard not connecting via bluetooth tried resets low urgency,62,9
Subj: Case 0936 - Router wifi drops (complaint) and i need tech support to stabilize it asap.,multiple_intents,,,,router wifi drops complaint and i need tech support to stabilize it asap,72,13
"Subj: Case 0500 - Need a teardown/repair guide for laptop, maybe service manual?",product_docs,,,laptop,need a teardown repair guide for laptop maybe service manual,60,10
"Subj: Case 0775 - Router keeps reverting config after reboot, need fix asap.",technical_support,high,,router,router keeps reverting config after reboot need fix asap,56,9
"Subj: Case 0404 - Monitor pricing for qty 2, send quote whenever.",pricing,low,,monitor,monitor pricing for qty 2 send quote whenever,45,8
"Subj: Case 0772 - Software license portal shows 'subscription expired' but we just bought, urgent.",technical_support,high,,software license,software license portal shows subscription expired but we just bought urgent,76,11
"Hey team, could you send invoices for Jan 2026 + Feb 2026? If only one period allowed then start with Jan 2026.",invoice_request,medium,,,hey team could you send invoices for jan 2026 feb 2026 if only one period allowed then start with jan 2026,106,21
"We need local rep in Brazil, around 60 people, medium pls",sales_reps,medium,,,we need local rep in brazil around 60 people medium pls,55,11
Where tf is order 67890? shows out for delivery but nothing. Very frustrated.,delivery_issue,high,67890.0,,where tf is order 67890 shows out for delivery but nothing very frustrated,74,13
"Subj: Case 0183 - We got a notice for order 62022 about $13.40, feels like a mistake.",credit_and_collections,,62022.0,,we got a notice for order 62022 about 13 40 feels like a mistake,64,14
"Subj: Case 0053 - Server rack order 51053 is missing the key/lock, can you send it out?",delivery_issue,medium,51053.0,server rack,server rack order 51053 is missing the key lock can you send it out,67,14
Subj: Case 0865 - Where is order 68011 server rack (status) + we need liftgate added please.,multiple_intents,,68011.0,,where is order 68011 server rack status we need liftgate added please,69,12
"Subj: Case 0385 - Need quote for printer qty 5, urgent because project kicks off tomorrow.",pricing,high,,printer,need quote for printer qty 5 urgent because project kicks off tomorrow,70,12
"Quote for 12 monitors, low prio",pricing,low,,monitor,quote for 12 monitors low prio,30,6
Subj: Case 0717 - Please refund order 67026 amount 95.00 reason: return approved last week.,refund_request,,67026.0,,please refund order 67026 amount 95 00 reason return approved last week,71,12
Subj: Case 0966 - Printer wifi not connecting (support) and also we want to cancel order 68083 if not shipped.,multiple_intents,,68083.0,,printer wifi not connecting support and also we want to cancel order 68083 if not shipped,89,16
"Vendor registration: NovaParts, retailer, region: Spain. What docs required?",vendor_registration,,,,vendor registration novaparts retailer region spain what docs required,70,9
When will laptop 32323 ship? ordered 2 days ago,order_status,,32323.0,laptop,when will laptop 32323 ship ordered 2 days ago,46,9
"Cancel order 67676 as we found alternate supplier, low urgency",order_modification_request,low,67676.0,,cancel order 67676 as we found alternate supplier low urgency,61,10
Subj: Case 0369 - Monitor order 65049: any update? ordered 14 days ago.,order_status,,65049.0,monitor,monitor order 65049 any update ordered 14 days ago,50,9
"Tablet app crashes during startup. need help, medium priority",technical_support,medium,,tablet,tablet app crashes during startup need help medium priority,59,9
"I got a bill I don't recognize for order 55213, pls explain",credit_and_collections,,55213.0,,i got a bill i don t recognize for order 55213 pls explain,58,13
"Quote + stock for SKU SR-8844 qty 2, need quick turnaround.",pricing_and_availability,high,,,quote stock for sku sr 8844 qty 2 need quick turnaround,55,11
Order 88881 for monitor — any shipment updates? placed 2 weeks back,order_status,,88881.0,monitor,order 88881 for monitor any shipment updates placed 2 weeks back,64,11
"Subj: Case 0331 - Order 65011 router: status check, ordered Monday.",order_status,,65011.0,router,order 65011 router status check ordered monday,46,7
"Subj: Case 0987 - Need sales rep for Australia and quote for 30 tablets, soon pls.",multiple_intents,,,,need sales rep for australia and quote for 30 tablets soon pls,62,12
"Subj: Case 0175 - Our remittance was sent but order 62014 still open $410.00, pls reconcile.",credit_and_collections,,62014.0,,our remittance was sent but order 62014 still open 410 00 pls reconcile,71,13
"My cables arrived short and useless for setup, very annoyed with QA.",complaints,,,cables,my cables arrived short and useless for setup very annoyed with qa,66,12
"Subj: Case 0463 - Need pricing/avail for ET-6A-06 cables qty 60, urgent pls.",pricing_and_availability,high,,,need pricing avail for et 6a 06 cables qty 60 urgent pls,56,12
"Router setup issue - can't get WAN to connect, keeps saying ""no IP"". Any troubleshooting steps?",technical_support,medium,,router,router setup issue can t get wan to connect keeps saying no ip any troubleshooting steps,88,16
Subj: Case 0841 - Can you update your Google Maps listing? it shows wrong hours.,out_of_scope,,,,can you update your google maps listing it shows wrong hours,60,11
LP-900 laptops in stock? qty 3,availability,,,laptop,lp 900 laptops in stock qty 3,29,7
"Looking for a server rack, not sure sku, but the 42U one—how many units are avail right now? Need 2.",availability,,,server rack,looking for a server rack not sure sku but the 42u one how many units are avail right now need 2,96,21
Subj: Case 0938 - Order 68064: delivery is late and i need to cancel if it wont arrive by Friday.,multiple_intents,,68064.0,,order 68064 delivery is late and i need to cancel if it wont arrive by friday,77,16
"SKU AB-2234 price and stock? Need 5, medium",pricing_and_availability,medium,,,sku ab 2234 price and stock need 5 medium,41,9
"Price for 4 high-res monitors, pls send by noon.",pricing,high,,monitor,price for 4 high res monitors pls send by noon,46,10
"Return request for order 90901 — monitor has dead pixel cluster, want return.",return_request,,90901.0,monitor,return request for order 90901 monitor has dead pixel cluster want return,73,12
Invoice for 66000 missing and order 66000 is delayed — please check,multiple_intents,,66000.0,,invoice for 66000 missing and order 66000 is delayed please check,65,11
User manual for cables? Looking for wiring diagram v1.2 please.,product_docs,,,cables,user manual for cables looking for wiring diagram v1 2 please,61,11
Angry here: cables fray after 2 days of use. Not ok.,complaints,,,cables,angry here cables fray after 2 days of use not ok,49,11
"Returned laptop under order 14100, want refund amount 1299.00 reason: defective battery",refund_request,,14100.0,,returned laptop under order 14100 want refund amount 1299 00 reason defective battery,85,13
"Two things: I need invoice for order 5701123, and also what's stock like for SKU AB-2234? Thx.",multiple_intents,,5701123.0,,two things i need invoice for order 5701123 and also what s stock like for sku ab 2234 thx,90,19
"Router keeps rebooting every few hours. Model: router, pls escalte",technical_support,high,,router,router keeps rebooting every few hours model router pls escalte,63,10
"Subj: Case 0838 - I have a question about my taxes, do i need to file quarterly? (not sure who to ask).",out_of_scope,,,,i have a question about my taxes do i need to file quarterly not sure who to ask,80,18
Invoice request: order 204667. Could you send it within the next hour? Thanks.,invoice_request,high,204667.0,,invoice request order 204667 could you send it within the next hour thanks,74,13
I want product brochure for keyboard model KX-3 version 3.2 if u have it.,product_docs,,,keyboard,i want product brochure for keyboard model kx 3 version 3 2 if u have it,72,16
"Looking for price on printer, qty 1. not urgent",pricing,low,,printer,looking for price on printer qty 1 not urgent,45,9
"Looking for troubleshooting guide for keyboard firmware update v1.4, send pls.",product_docs,,,keyboard,looking for troubleshooting guide for keyboard firmware update v1 4 send pls,76,12
Out of scope: asking about personal device repair — not part of service,out_of_scope,,,,out of scope asking about personal device repair not part of service,68,12
Can you send invoice for 44500 and check status of that order? 44500,multiple_intents,,44500.0,,can you send invoice for 44500 and check status of that order 44500,67,13
"Tablet overheats during video calls, urgent for presentation",technical_support,high,,tablet,tablet overheats during video calls urgent for presentation,59,8
Subj: Case 0380 - How much for keyboards in qty 25? we need pricing asap pls.,pricing,high,,keyboard,how much for keyboards in qty 25 we need pricing asap pls,57,12
"Monitor backlight bleeding all across, unacceptable",complaints,,,monitor,monitor backlight bleeding all across unacceptable,50,6
We want pricing for 100 laptops and need vendor registration form,multiple_intents,,,,we want pricing for 100 laptops and need vendor registration form,65,11
Tracking hasn't moved in 5 days. Order 6804412 for the tablet. This is getting silly.,delivery_issue,medium,6804412.0,tablet,tracking hasn t moved in 5 days order 6804412 for the tablet this is getting silly,82,16
I need to return laptop order 70707 - cracked hinge on arrival,return_request,,70707.0,laptop,i need to return laptop order 70707 cracked hinge on arrival,60,11
"I want spec sheet for keyboard, version 2025",product_docs,,,keyboard,i want spec sheet for keyboard version 2025,43,8
"Subj: Case 0484 - Please send warranty terms for laptop, current version pls.",product_docs,,,laptop,please send warranty terms for laptop current version pls,57,9
"Subj: Case 0760 - Router VPN feature not working, we need it for remote staff, urgent pls.",technical_support,high,,router,router vpn feature not working we need it for remote staff urgent pls,69,13
"Subj: Case 0329 - Need order update: 65009 software license, purchased today, no key yet.",order_status,,65009.0,software license,need order update 65009 software license purchased today no key yet,67,11
The printer ink you sent is leaking in the bag… how does that even ship like this. total mess.,complaints,,,printer ink,the printer ink you sent is leaking in the bag how does that even ship like this total mess,91,19
"Monitor flickers randomly over HDMI, tried different cable already. Need a fix asap, it's making ppl nauseous.",technical_support,high,,monitor,monitor flickers randomly over hdmi tried different cable already need a fix asap it s making ppl nauseous,106,18
I placed order 33145 for keyboard but tracking says delivered to neighbor? can't find it. odd. help,delivery_issue,medium,33145.0,keyboard,i placed order 33145 for keyboard but tracking says delivered to neighbor can t find it odd help,96,18
Requesting refund for order 44110 — charged twice. amount: 499.99,refund_request,,44110.0,,requesting refund for order 44110 charged twice amount 499 99,61,10
"My order 30330 got cancelled without notice, product laptop. Not happy",complaints,,,laptop,my order 30330 got cancelled without notice product laptop not happy,68,11
"Subj: Case 0085 - Looking for router sku RT-MESH5, qty 1, is it available?",availability,,,router,looking for router sku rt mesh5 qty 1 is it available,53,11
Subj: Case 0861 - Need invoice for order 68008 and btw the balance notice says $59 due but we paid.,multiple_intents,,68008.0,,need invoice for order 68008 and btw the balance notice says 59 due but we paid,79,16
"Subj: Case 0410 - Laptop pricing qty 40, can you send a formal quote? urgent.",pricing,high,,laptop,laptop pricing qty 40 can you send a formal quote urgent,56,11
"Received wrong item for order 33120 — I ordered cables but got a keyboard, want refund.",refund_request,,33120.0,,received wrong item for order 33120 i ordered cables but got a keyboard want refund,83,15
"Subj: Case 0195 - We keep getting the same overdue email for order 62034 ($59.00), can you stop it.",credit_and_collections,,62034.0,,we keep getting the same overdue email for order 62034 59 00 can you stop it,76,16
"Can I return the tablet from order 862944? We ordered the wrong model, unopened still.",return_request,,862944.0,tablet,can i return the tablet from order 862944 we ordered the wrong model unopened still,83,15
"Subj: Case 0448 - Need pricing/avail on SR-18U-SLIM2 qty 2, no rush.",pricing_and_availability,low,,,need pricing avail on sr 18u slim2 qty 2 no rush,48,11
"Subj: Case 0061 - Availability check: KB-88X keyboard, qty 12, pls.",availability,,,keyboard,availability check kb 88x keyboard qty 12 pls,45,8
"Do you have SKU AB-2234 in stock? It's the keyboard we bought last time, need 12 units if possible.",availability,,,keyboard,do you have sku ab 2234 in stock it s the keyboard we bought last time need 12 units if possible,96,21
"Subj: Case 0126 - Software license terms changed after purchase, feels like a bait n switch.",complaints,,,software license,software license terms changed after purchase feels like a bait n switch,72,12
Super annoyed: printer ink smears everywhere even after drying.,complaints,,,printer,super annoyed printer ink smears everywhere even after drying,61,9
Can you upgrade shipping on order 916773 to overnight? we need the tablet by tomorow morning,order_modification_request,high,916773.0,,can you upgrade shipping on order 916773 to overnight we need the tablet by tomorow morning,91,16
Subj: Case 0705 - Need refund for order 67014 amount 333.33 reason: printer returned unopened.,refund_request,,67014.0,,need refund for order 67014 amount 333 33 reason printer returned unopened,74,12
"I'm really upset—the tablet battery dies in 45 mins, totally unusable.",complaints,,,tablet,i m really upset the tablet battery dies in 45 mins totally unusable,68,13
Invoice missing for 81818 and we also need status update for that order,multiple_intents,,81818.0,,invoice missing for 81818 and we also need status update for that order,71,13
Subj: Case 0973 - Return request order 68087 tablet + also dispute collections email about it.,multiple_intents,,68087.0,,return request order 68087 tablet also dispute collections email about it,73,11
"My printer keeps jamming every 3 pages, even with new paper. Need help asap!!",technical_support,high,,printer,my printer keeps jamming every 3 pages even with new paper need help asap,73,14
"Subj: Case 0773 - Keyboard backlight controls not working, fn key does nothing.",technical_support,low,,keyboard,keyboard backlight controls not working fn key does nothing,59,9
Complaint: keyboard arrived dirty. Also need refund for order 66700,multiple_intents,,66700.0,,complaint keyboard arrived dirty also need refund for order 66700,65,10
"Subj: Case 0115 - Keyboard keys stick after 2 weeks, honestly feels cheap.",complaints,,,keyboard,keyboard keys stick after 2 weeks honestly feels cheap,54,9
"Assign someone in MEA for 800 headcount, urgent pls",sales_reps,high,,,assign someone in mea for 800 headcount urgent pls,50,9
"Cables failed EMI compliance tests, causing downtime",complaints,,,cables,cables failed emi compliance tests causing downtime,51,7
"Subj: Case 0809 - Please update my account name spelling, its wrong in the portal, thanks.",out_of_scope,,,,please update my account name spelling its wrong in the portal thanks,69,12
Please refund 12321 amount 199.99 reason: order cancelled by seller,refund_request,,12321.0,,please refund 12321 amount 199 99 reason order cancelled by seller,66,11
"Need price+availability for SKU RT-44 qty 7, project deadline soon.",pricing_and_availability,high,,,need price availability for sku rt 44 qty 7 project deadline soon,65,12
Laptop battery melted slightly!! This is crazy,complaints,,,laptop,laptop battery melted slightly this is crazy,44,7
Need availability for SKU PR-2001 (printer). Qty 6.,availability,,,printer,need availability for sku pr 2001 printer qty 6,47,9
"Hi team, vendor registration request for ""Sapphire Retail Group"". We're a retailer in Australia, how do we start?",vendor_registration,,,,hi team vendor registration request for sapphire retail group we re a retailer in australia how do we start,107,19
"Can't change payment method on 99212? pls switch to PO# 555, high prio",order_modification_request,high,99212.0,,can t change payment method on 99212 pls switch to po 555 high prio,67,14
Do you sponsor local robotics teams? We’re looking for donations for a school event next month,out_of_scope,,,,do you sponsor local robotics teams we re looking for donations for a school event next month,93,17
Laptop won't boot after update. black screen. please help,technical_support,high,,laptop,laptop won t boot after update black screen please help,55,10
"I was charged tax incorrectly on order 88888 amount 49.00, collections notified me",credit_and_collections,,88888.0,,i was charged tax incorrectly on order 88888 amount 49 00 collections notified me,81,14
"Pricing: tablet qty 25, want discount? urgent for rollout",pricing,high,,tablet,pricing tablet qty 25 want discount urgent for rollout,54,9
"Subj: Case 0513 - Monitor color calibration guide, can you send it?",product_docs,,,monitor,monitor color calibration guide can you send it,47,8
"Our printer delivery never came, but your site says delivered yesterday 4:12pm. Order 4487711. I'm pretty frustrated.",delivery_issue,high,4487711.0,printer,our printer delivery never came but your site says delivered yesterday 4 12pm order 4487711 i m pretty frustrated,113,19
"Monitor power supply burned smell after plugging in, extremely unsafe, complaint.",complaints,,,monitor,monitor power supply burned smell after plugging in extremely unsafe complaint,78,11
"Subj: Case 0156 - Printer makes grinding noise, sounds like it will break.",complaints,,,printer,printer makes grinding noise sounds like it will break,54,9
"Please register vendor: SupplyWorks, distributor, region: NA",vendor_registration,,,,please register vendor supplyworks distributor region na,56,7
"I want to return printer 40040 because it won't power on, order40040",return_request,,40040.0,printer,i want to return printer 40040 because it won t power on order40040,67,13
"Subj: Case 0816 - Your site accessibility (contrast) is hard to use, please fix for ADA.",out_of_scope,,,,your site accessibility contrast is hard to use please fix for ada,66,12
Who is our sales rep in EMEA? need contact asap,sales_reps,high,,,who is our sales rep in emea need contact asap,46,10
"RT-88 qty 4 price check, not urgent",pricing_and_availability,low,,,rt 88 qty 4 price check not urgent,34,8
"Subj: Case 0657 - Need RMA for laptop order 66019, reason: trackpad glitchy.",return_request,,66019.0,laptop,need rma for laptop order 66019 reason trackpad glitchy,55,9
Do you have the manual for the router AND is it in stock? SKU RT-AXE6600. need 5,multiple_intents,,,,do you have the manual for the router and is it in stock sku rt axe6600 need 5,78,18
Subj: Case 0960 - Need availability for LT-13AIR qty 9 and also price per unit for that qty.,multiple_intents,,,,need availability for lt 13air qty 9 and also price per unit for that qty,73,15
Is SKU CB-300 cables in stock? Need 100 asap,availability,,,cables,is sku cb 300 cables in stock need 100 asap,43,10
Are keyboards KB-55 available? Need 25 pcs for office,availability,,,keyboard,are keyboards kb 55 available need 25 pcs for office,52,10
Can you provide legal counsel on contracts? not your job,out_of_scope,,,,can you provide legal counsel on contracts not your job,55,10
"Hey, random question about holiday party — can you send catering options?",out_of_scope,,,,hey random question about holiday party can you send catering options,69,11
Need the datasheet for the server rack AND can you connect me to a sales rep for California? We're ~300 ppl.,multiple_intents,,,,need the datasheet for the server rack and can you connect me to a sales rep for california we re 300 ppl,105,22
Subj: Case 0249 - Can i have the invoice for order 63025? thanks.,invoice_request,low,63025.0,,can i have the invoice for order 63025 thanks,45,9
Subj: Case 0975 - Invoice for order 68088 pls and also the balance notice says we owe $13.40 (why?).,multiple_intents,,68088.0,,invoice for order 68088 pls and also the balance notice says we owe 13 40 why,77,16
"We need a sales rep for EU, company size 1200, medium",sales_reps,medium,,,we need a sales rep for eu company size 1200 medium,51,11
My payment for order 24011 hasn't been applied and I got a collection notice. Amount due shows 1200.00,credit_and_collections,,24011.0,,my payment for order 24011 hasn t been applied and i got a collection notice amount due shows 1200 00,101,20
Return request: order 589104 (keyboard). Keys stick and it’s unusable. pls advise next steps,return_request,,589104.0,keyboard,return request order 589104 keyboard keys stick and it s unusable pls advise next steps,87,15
Return keyboard 50505 order#50505 reason: missing keys,return_request,,50505.0,keyboard,return keyboard 50505 order 50505 reason missing keys,53,8
"Subj: Case 0888 - Collections says order 68028 is overdue but we never got invoice, pls resend invoice and fix AR.",multiple_intents,,68028.0,,collections says order 68028 is overdue but we never got invoice pls resend invoice and fix ar,94,17
Do you have installation manual for the server rack? version 2 pls.,product_docs,,,server rack,do you have installation manual for the server rack version 2 pls,65,12
Subj: Case 0853 - Can you quote 10 monitors and confirm if sku MN-7722 is actually in stock? urgent.,multiple_intents,,,,can you quote 10 monitors and confirm if sku mn 7722 is actually in stock urgent,80,16
"Sales rep contact for APAC region pls, we're a startup (30 ppl) and need reseller pricing.",sales_reps,medium,,,sales rep contact for apac region pls we re a startup 30 ppl and need reseller pricing,86,17
"Software license throws error code 403 when activating, pls help",technical_support,medium,,software license,software license throws error code 403 when activating pls help,63,10
"Subj: Case 0187 - Order 62026 was cancelled but you still show $499.00 due, can you clear it?",credit_and_collections,,62026.0,,order 62026 was cancelled but you still show 499 00 due can you clear it,72,15
"Subj: Case 0702 - I want a refund for order 67011, amount 760.00, reason: router firmware bricked.",refund_request,,67011.0,,i want a refund for order 67011 amount 760 00 reason router firmware bricked,76,14
SKU AB-1010 available? need 11 units,availability,,,keyboard,sku ab 1010 available need 11 units,35,7
Payment failed for order 88009 but you marked it overdue. Fix balance pls,credit_and_collections,,88009.0,,payment failed for order 88009 but you marked it overdue fix balance pls,72,13
Query about credit memo for order 45400 amount 75,credit_and_collections,,45400.0,,query about credit memo for order 45400 amount 75,49,9
Can you provide a user manual for printer P-900 model version 3,product_docs,,,printer,can you provide a user manual for printer p 900 model version 3,63,13
"Subj: Case 0460 - For PR-SCAN-5, can you confirm price and if it's in stock? qty 1.",pricing_and_availability,low,,,for pr scan 5 can you confirm price and if it s in stock qty 1,62,16
"Assign sales contact for US-based 5-person startup, low prio",sales_reps,low,,,assign sales contact for us based 5 person startup low prio,59,11
"Hey, how do I get invoice for order 12233 for June? thanks",invoice_request,low,12233.0,,hey how do i get invoice for order 12233 for june thanks,56,12
Software license didn't unlock pro features after payment. pissed,complaints,,,software license,software license didn t unlock pro features after payment pissed,64,10
"Subj: Case 0396 - Need pricing for cables qty 200, looking for bulk discount asap.",pricing,high,,cables,need pricing for cables qty 200 looking for bulk discount asap,62,11
Can you tell me price per unit for SKU LM-300 for qty 15? Need it for quote.,pricing_and_availability,low,,,can you tell me price per unit for sku lm 300 for qty 15 need it for quote,74,18
"My laptop wifi adapter failed after update, can't connect to networks. Help pls.",technical_support,high,,laptop,my laptop wifi adapter failed after update can t connect to networks help pls,77,14
do you have tablet TL-900 in stock? want 5 units,availability,,,tablet,do you have tablet tl 900 in stock want 5 units,47,11
"What's price for 20 tablets? Need per unit and bulk discounts, urgent procurement.",pricing,high,,tablet,what s price for 20 tablets need per unit and bulk discounts urgent procurement,79,14
Are you hiring? pls tell me open roles! thanks,out_of_scope,,,,are you hiring pls tell me open roles thanks,44,9
